DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-09-01,9.526555,9.68238,9.179981,9.211318,130781842
2023-09-02,9.211169,9.269283,9.072494,9.200228,105294636
2023-09-03,9.200609,9.22895,9.074668,9.188302,86054328
2023-09-04,9.188758,9.258091,9.119988,9.162504,78159581
2023-09-05,9.161955,9.298776,9.004553,9.082604,85485211
2023-09-06,9.082834,9.283414,8.977113,9.244543,82578227
2023-09-07,9.244606,9.348104,9.15413,9.267882,83627076
2023-09-08,9.268714,9.460769,9.222679,9.414658,80030130
2023-09-09,9.415839,9.454092,9.232108,9.266508,74741472
2023-09-10,9.265834,9.265834,9.194682,9.195385,49129555
2023-09-11,9.195595,9.19984,8.76137,8.840664,99131194
2023-09-12,8.840754,8.852428,8.478247,8.588582,101346299
2023-09-13,8.588094,8.899325,8.567339,8.570973,115137078
2023-09-14,8.571315,8.748659,8.491626,8.66485,99156604
2023-09-15,8.664413,8.801962,8.628822,8.834436,91628391
2023-09-16,8.834924,8.927369,8.639615,8.837026,84898556
2023-09-17,8.837052,8.988875,8.791385,8.798905,78099074
2023-09-18,8.798891,8.798891,8.481745,8.536663,83725853
2023-09-19,8.536703,8.735718,8.310462,8.523085,122485297
2023-09-20,8.523385,8.696595,8.480963,8.630525,106417606
2023-09-21,8.630506,8.638619,8.362064,8.495606,124888097
2023-09-22,8.495365,8.553723,8.256405,8.280164,116545689
2023-09-23,8.279818,8.376085,8.247649,8.311586,90105859
2023-09-24,8.311531,8.414795,8.294695,8.34624,73178837
2023-09-25,8.346036,8.461374,8.244886,8.252611,81809910
2023-09-26,8.252135,8.446408,8.170608,8.444559,96042013
2023-09-27,8.44465,8.545764,8.42357,8.556552,89258249
2023-09-28,8.55582,8.698321,8.432203,8.493029,96066072
2023-09-29,8.492922,8.856926,8.480445,8.769065,108250230
2023-09-30,8.769594,8.81234,8.598078,8.67203,106273626
2023-10-01,8.67236,8.776793,8.627972,8.736777,76944012
2023-10-02,8.735954,9.286845,8.719614,9.219593,113162463
2023-10-03,9.220017,9.282912,8.813701,8.899927,109957246
2023-10-04,8.899105,9.035472,8.848227,8.982902,86734340
2023-10-05,8.984046,9.707624,8.769665,9.606779,191047310
2023-10-06,9.608183,9.793186,9.353504,9.607265,172641581
2023-10-07,9.607094,10.279101,9.607094,10.059626,173497473
