DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2023-01-01,0.050807,0.051359,0.050769,0.051204,93658854
2023-01-02,0.051202,0.051839,0.050961,0.051661,130115749
2023-01-03,0.051663,0.052081,0.051966,0.051997,124048965
2023-01-04,0.051998,0.052614,0.051349,0.051605,166846700
2023-01-05,0.051605,0.051813,0.0508,0.051003,173847896
2023-01-06,0.051011,0.051188,0.047541,0.049226,721148151
2023-01-07,0.049225,0.049612,0.048289,0.048782,260004483
2023-01-08,0.048777,0.050469,0.048195,0.050469,189492853
2023-01-09,0.050545,0.052814,0.050461,0.050897,348678457
2023-01-10,0.050895,0.051118,0.050289,0.051015,182658734
2023-01-11,0.051019,0.052469,0.050981,0.052469,194927974
2023-01-12,0.052739,0.052725,0.051933,0.052589,222695197
2023-01-13,0.052589,0.055747,0.052461,0.055327,238236313
2023-01-14,0.055325,0.060457,0.055325,0.057062,522215850
2023-01-15,0.057063,0.057847,0.05606,0.057616,246417546
2023-01-16,0.057613,0.058191,0.056813,0.057637,230028248
2023-01-17,0.057639,0.057702,0.056887,0.05721,198360871
2023-01-18,0.057209,0.05781,0.054643,0.054643,240882171
2023-01-19,0.054638,0.055597,0.054564,0.055525,157137964
2023-01-20,0.05552,0.057793,0.055395,0.057767,177592243
2023-01-21,0.057761,0.058007,0.056747,0.056753,239520002
2023-01-22,0.056758,0.057567,0.056013,0.056772,192732905
2023-01-23,0.056774,0.058104,0.056624,0.057787,206490014
2023-01-24,0.057775,0.058296,0.055086,0.055285,210101089
2023-01-25,0.055288,0.057382,0.054572,0.056627,201827389
2023-01-26,0.056614,0.056862,0.05627,0.056668,173979947
2023-01-27,0.056671,0.059054,0.056064,0.058485,295948978
2023-01-28,0.058487,0.05878,0.057214,0.058029,213626128
2023-01-29,0.058033,0.059201,0.057943,0.058678,274845621
2023-01-30,0.058677,0.058814,0.056527,0.057368,297337273
2023-01-31,0.057371,0.058119,0.056882,0.057289,250530998
2023-02-01,0.057287,0.057473,0.056364,0.057382,255614342
2023-02-02,0.057371,0.059833,0.057358,0.058471,374788423
2023-02-03,0.058469,0.059404,0.058887,0.059342,306434598
2023-02-04,0.059342,0.059603,0.058509,0.059034,222115663
2023-02-05,0.059034,0.060638,0.058681,0.059397,355564089
2023-02-06,0.059402,0.059737,0.058641,0.058899,245661586
2023-02-07,0.058889,0.061401,0.058857,0.061296,364713232
2023-02-08,0.061294,0.064594,0.061,0.062409,586040502
2023-02-09,0.062407,0.062539,0.057843,0.058303,604411818
2023-02-10,0.058305,0.059521,0.058193,0.059244,319879893
2023-02-11,0.059246,0.059917,0.059155,0.059695,179646838
2023-02-12,0.05969,0.060971,0.059624,0.059787,176959794
2023-02-13,0.059782,0.061231,0.059201,0.061132,291094516
2023-02-14,0.06113,0.062241,0.060706,0.062173,258969285
2023-02-15,0.062175,0.066255,0.062175,0.066241,331992553
2023-02-16,0.066241,0.066689,0.062674,0.062709,371772765
2023-02-17,0.062702,0.066837,0.062508,0.065747,343333536
2023-02-18,0.06574,0.066296,0.065129,0.065448,211592956
2023-02-19,0.065443,0.066775,0.065152,0.065878,213159170
2023-02-20,0.065908,0.068187,0.065306,0.067344,354412005
2023-02-21,0.067341,0.067515,0.064889,0.065219,285193421
2023-02-22,0.065221,0.065639,0.064135,0.06547,227222625
2023-02-23,0.065469,0.066422,0.06523,0.06567,204498321
2023-02-24,0.065666,0.066079,0.063906,0.064104,204617211
2023-02-25,0.064108,0.065024,0.063307,0.064161,195660689
2023-02-26,0.064157,0.066056,0.064144,0.065867,181124269
2023-02-27,0.065866,0.066021,0.06485,0.06541,206623335
2023-02-28,0.065415,0.065907,0.064932,0.065249,195344069
2023-03-01,0.065252,0.065972,0.065131,0.065498,200482389
2023-03-02,0.065497,0.06603,0.065163,0.065719,196765632
2023-03-03,0.065719,0.065822,0.062754,0.063111,246625639
2023-03-04,0.063109,0.063454,0.062197,0.062664,172876602
2023-03-05,0.062667,0.063806,0.062568,0.063295,154393953
2023-03-06,0.063294,0.063324,0.062637,0.063071,174149054
2023-03-07,0.063071,0.063293,0.062412,0.062818,210242449
2023-03-08,0.062819,0.06307,0.06152,0.061863,200040368
2023-03-09,0.061864,0.062621,0.054077,0.05522,431231975
2023-03-10,0.061864,0.062621,0.054077,0.05522,431231975
2023-03-11,0.055224,0.055364,0.052642,0.05388,485745497
2023-03-12,0.053886,0.055692,0.051968,0.055673,391149037
2023-03-13,0.055671,0.060585,0.055361,0.060581,325379583
2023-03-14,0.060601,0.064093,0.060601,0.062687,586982434
2023-03-15,0.062681,0.064399,0.061551,0.062585,447421277
2023-03-16,0.062595,0.063286,0.06105,0.061722,332316329
2023-03-17,0.061733,0.062944,0.061521,0.061588,268465343
2023-03-18,0.061587,0.063193,0.061246,0.063052,277756785
2023-03-19,0.063046,0.063321,0.060895,0.061136,247289415
2023-03-20,0.061138,0.062968,0.061137,0.062513,212968924
2023-03-21,0.062505,0.062805,0.060714,0.060745,239846333
2023-03-22,0.060759,0.062472,0.060736,0.062361,252895470
2023-03-23,0.062357,0.063164,0.052904,0.055088,603831946
2023-03-24,0.055085,0.061379,0.054823,0.060235,534016299
2023-03-25,0.060234,0.060496,0.058493,0.058872,302870733
2023-03-26,0.058874,0.059695,0.05836,0.059132,197013225
