DATETIME,OPEN,HIGH,LOW,CLOSE
2021-08-23,1.1699,1.1752,1.1693,1.1746
2021-08-24,1.1748,1.1767,1.1728,1.1759
2021-08-25,1.1756,1.1776,1.1727,1.1772
2021-08-26,1.1774,1.1782,1.1747,1.1753
2021-08-27,1.1752,1.1804,1.1735,1.1797
2021-08-30,1.18,1.1812,1.1783,1.1799
2021-08-31,1.1797,1.1849,1.1795,1.1809
2021-09-01,1.1811,1.1859,1.1794,1.1842
2021-09-02,1.184,1.1878,1.1834,1.1875
2021-09-03,1.1876,1.191,1.1867,1.1879
2021-09-06,1.188,1.1889,1.1856,1.1872
2021-09-07,1.1871,1.1887,1.1838,1.1843
2021-09-08,1.1841,1.1854,1.1803,1.1818
2021-09-09,1.1816,1.1843,1.1806,1.1825
2021-09-10,1.1824,1.1853,1.181,1.1811
2021-09-13,1.1812,1.1819,1.177,1.1812
2021-09-14,1.1811,1.1847,1.18,1.1804
2021-09-15,1.1803,1.1834,1.18,1.1816
2021-09-16,1.1819,1.1823,1.1752,1.1766
2021-09-17,1.1763,1.179,1.1725,1.1727
2021-09-20,1.1729,1.1738,1.1701,1.1729
2021-09-21,1.1726,1.175,1.1715,1.1728
2021-09-22,1.1727,1.1756,1.1685,1.1689
2021-09-23,1.169,1.1752,1.1684,1.1739
2021-09-24,1.174,1.1749,1.1701,1.1721
2021-09-27,1.1717,1.173,1.1685,1.1696
2021-09-28,1.1698,1.1705,1.167,1.1685
2021-09-29,1.1684,1.1692,1.159,1.1598
2021-09-30,1.1599,1.1611,1.1563,1.1577
2021-10-01,1.1581,1.1609,1.1564,1.1594
2021-10-04,1.1597,1.1641,1.1588,1.162
2021-10-05,1.1621,1.1624,1.1581,1.1599
2021-10-06,1.16,1.1606,1.153,1.1559
2021-10-07,1.1558,1.1574,1.1549,1.1553
2021-10-08,1.1554,1.1586,1.1542,1.1577
2021-10-11,1.158,1.1588,1.155,1.1555
2021-10-12,1.1554,1.1572,1.1525,1.1532
2021-10-13,1.153,1.1599,1.1528,1.1596
2021-10-14,1.1595,1.1626,1.1584,1.16
2021-10-15,1.1599,1.1621,1.1588,1.1599
2021-10-18,1.1601,1.1625,1.1572,1.1614
2021-10-19,1.1613,1.1671,1.1609,1.1632
2021-10-20,1.1634,1.166,1.1617,1.1651
2021-10-21,1.1653,1.1669,1.162,1.1627
2021-10-22,1.1624,1.1657,1.1621,1.1647
2021-10-25,1.1646,1.1667,1.1592,1.1611
2021-10-26,1.1609,1.1628,1.1585,1.1596
2021-10-27,1.1597,1.1628,1.1585,1.1603
2021-10-28,1.1605,1.1694,1.1583,1.1684
2021-10-29,1.1683,1.1692,1.1535,1.1563
2021-11-01,1.1564,1.1611,1.1546,1.1606
2021-11-02,1.1607,1.1615,1.1576,1.158
2021-11-03,1.1581,1.1617,1.1563,1.1612
2021-11-04,1.1614,1.1619,1.1529,1.1557
2021-11-05,1.1555,1.1575,1.1514,1.1568
2021-11-08,1.1552,1.1597,1.1551,1.1588
2021-11-09,1.1589,1.161,1.1571,1.1596
2021-11-10,1.1594,1.1597,1.1478,1.1478
2021-11-11,1.148,1.149,1.1443,1.1449
2021-11-12,1.145,1.1463,1.1435,1.1445
2021-11-15,1.1447,1.1465,1.1357,1.1367
2021-11-16,1.1369,1.1388,1.131,1.1322
2021-11-17,1.1321,1.1334,1.1265,1.1319
2021-11-18,1.1321,1.1376,1.1314,1.1374
2021-11-19,1.1372,1.1376,1.125,1.1281
2021-11-22,1.129,1.1294,1.1231,1.1235
2021-11-23,1.1237,1.1276,1.1227,1.1249
2021-11-24,1.125,1.1256,1.1187,1.1201
2021-11-25,1.1199,1.1232,1.1198,1.121
2021-11-26,1.1211,1.1332,1.1207,1.1318
2021-11-29,1.1305,1.1316,1.1259,1.1294
2021-11-30,1.1293,1.1384,1.124,1.134
2021-12-01,1.1339,1.1361,1.1303,1.1321
2021-12-02,1.132,1.1349,1.1296,1.1303
2021-12-03,1.1302,1.1334,1.1267,1.1314
2021-12-06,1.1316,1.132,1.1267,1.1287
2021-12-07,1.1286,1.13,1.1228,1.1268
2021-12-08,1.127,1.1357,1.1266,1.1344
2021-12-09,1.1343,1.1349,1.1279,1.1293
2021-12-10,1.1294,1.1325,1.1266,1.1318
2021-12-13,1.1319,1.1321,1.1262,1.1286
2021-12-14,1.1287,1.1326,1.1254,1.1261
2021-12-15,1.126,1.13,1.1224,1.1292
2021-12-16,1.1287,1.1362,1.1282,1.133
2021-12-17,1.1335,1.1351,1.1236,1.1239
2021-12-20,1.1242,1.1305,1.1235,1.1276
2021-12-21,1.128,1.1304,1.1261,1.1288
2021-12-22,1.1289,1.1343,1.1264,1.1327
2021-12-23,1.1326,1.1344,1.1291,1.1329
2021-12-24,1.133,1.1346,1.1304,1.1323
2021-12-27,1.1321,1.1336,1.1303,1.1328
2021-12-28,1.1327,1.1335,1.129,1.1311
2021-12-29,1.1309,1.137,1.1275,1.1351
2021-12-30,1.1352,1.1362,1.1299,1.1328
2021-12-31,1.1325,1.1388,1.1304,1.1373
2022-01-03,1.1368,1.138,1.128,1.1299
2022-01-04,1.1298,1.1323,1.1273,1.1289
2022-01-05,1.1288,1.1348,1.1277,1.1314
2022-01-06,1.1313,1.1333,1.1285,1.13
2022-01-07,1.1297,1.1367,1.1291,1.1364
2022-01-10,1.1363,1.1363,1.1287,1.1328
2022-01-11,1.1326,1.1377,1.1314,1.1371
2022-01-12,1.1368,1.1455,1.1356,1.1443
2022-01-13,1.1441,1.1482,1.1436,1.1455
2022-01-14,1.1456,1.1484,1.1399,1.1416
2022-01-17,1.1416,1.1436,1.1393,1.1408
2022-01-18,1.1409,1.1424,1.1316,1.1328
2022-01-19,1.1327,1.1358,1.1319,1.1344
2022-01-20,1.1343,1.137,1.1303,1.1311
