DATETIME,OPEN,HIGH,LOW,CLOSE
2021-08-23,1.3624,1.3734,1.3614,1.3722
2021-08-24,1.3719,1.3748,1.3693,1.3729
2021-08-25,1.3728,1.3768,1.3697,1.3763
2021-08-26,1.3765,1.3769,1.3689,1.3699
2021-08-27,1.37,1.3782,1.368,1.3761
2021-08-30,1.3769,1.3776,1.3733,1.376
2021-08-31,1.3759,1.3807,1.3742,1.3756
2021-09-01,1.3754,1.3799,1.3731,1.377
2021-09-02,1.3768,1.384,1.3767,1.3834
2021-09-03,1.3833,1.3893,1.3817,1.3858
2021-09-06,1.386,1.3873,1.3819,1.3838
2021-09-07,1.3836,1.3858,1.3768,1.3785
2021-09-08,1.3787,1.3792,1.3726,1.377
2021-09-09,1.3771,1.3863,1.3753,1.3836
2021-09-10,1.3837,1.389,1.3827,1.3833
2021-09-13,1.3831,1.3852,1.3797,1.3838
2021-09-14,1.3839,1.3912,1.3803,1.381
2021-09-15,1.3813,1.3855,1.3792,1.3842
2021-09-16,1.384,1.3854,1.3764,1.379
2021-09-17,1.3791,1.3814,1.3728,1.3738
2021-09-20,1.3741,1.3755,1.364,1.3658
2021-09-21,1.3657,1.3694,1.3641,1.3659
2021-09-22,1.366,1.369,1.361,1.3618
2021-09-23,1.3629,1.3752,1.3612,1.3719
2021-09-24,1.3721,1.3737,1.3658,1.3676
2021-09-27,1.3681,1.3729,1.3658,1.3699
2021-09-28,1.3698,1.3718,1.352,1.3537
2021-09-29,1.3535,1.3555,1.3412,1.3428
2021-09-30,1.3427,1.3517,1.3416,1.3474
2021-10-01,1.3475,1.3576,1.3434,1.3546
2021-10-04,1.3548,1.3641,1.3532,1.3608
2021-10-05,1.361,1.3648,1.3584,1.3627
2021-10-06,1.3629,1.3638,1.3544,1.3586
2021-10-07,1.3581,1.3638,1.3571,1.3616
2021-10-08,1.3615,1.3656,1.3584,1.3617
2021-10-11,1.3617,1.3675,1.3584,1.3594
2021-10-12,1.3596,1.3638,1.3569,1.3588
2021-10-13,1.3586,1.3666,1.3575,1.3659
2021-10-14,1.3661,1.3735,1.3655,1.3674
2021-10-15,1.3675,1.3774,1.3667,1.3747
2021-10-18,1.3752,1.3767,1.3709,1.3728
2021-10-19,1.3729,1.3834,1.3723,1.3793
2021-10-20,1.3794,1.3835,1.3742,1.3825
2021-10-21,1.3822,1.3835,1.3775,1.3794
