DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-08-20,2.787857,3.077784,2.692896,2.90008,48819867
2020-08-21,2.896923,3.090093,2.730919,2.875028,49313137
2020-08-22,2.87857,4.510613,2.816762,4.48469,485801096
2020-08-23,4.487058,4.487058,3.716271,3.967066,320749483
2020-08-24,3.987413,4.783158,3.81267,4.602614,407690171
2020-08-25,4.584953,5.760775,4.501223,5.523393,898847538
2020-08-26,5.541406,6.554688,5.136205,6.081716,1054351759
2020-08-27,6.075772,6.78918,5.313926,5.628337,1289248953
2020-08-28,5.639486,6.333746,5.540963,6.159955,727162235
2020-08-29,6.175925,6.562906,6.042309,6.159143,527290028
2020-08-30,6.15344,6.219506,5.749978,5.869881,485335136
2020-08-31,5.905918,6.459377,5.772966,6.30002,512604781
2020-09-01,6.29881,6.838898,6.172324,6.288767,601527409
2020-09-02,6.282686,6.432652,5.657442,6.139465,584155028
2020-09-03,6.131179,6.318079,5.68259,5.747868,763663457
2020-09-04,5.72661,5.981395,4.62672,5.146038,845787793
2020-09-05,5.136033,5.311784,3.653468,4.122313,805800385
2020-09-06,4.137032,4.90165,3.759745,4.799468,924160482
2020-09-07,4.796048,4.820003,4.032633,4.594669,675375183
2020-09-08,4.588958,4.61644,4.119595,4.274324,519440288
2020-09-09,4.282868,4.796723,4.158873,4.708939,534097094
2020-09-10,4.709849,4.870141,4.471295,4.581584,633577674
2020-09-11,4.579848,4.74811,4.31713,4.645567,633472140
2020-09-12,4.650602,5.280156,4.516019,5.137037,753745737
2020-09-13,5.145041,5.478801,4.806826,5.297951,1099475714
2020-09-14,5.29642,5.602782,5.126425,5.348709,1008259712
2020-09-15,5.366626,5.451917,5.095706,5.095706,897864384
2020-09-16,5.068963,5.281323,4.986211,5.080322,792360521
2020-09-17,5.080322,5.417671,5.061747,5.336301,776350363
2020-09-18,5.341709,5.459139,5.108553,5.245764,683398180
2020-09-19,5.253237,5.255691,4.824983,4.925411,605268040
2020-09-20,4.928915,4.974466,4.424918,4.672449,798507891
2020-09-21,4.672449,4.700903,3.950476,4.094597,1096736657
2020-09-22,4.085402,4.208596,3.918225,4.174463,673117344
2020-09-23,4.168554,4.315891,3.974101,4.031415,557062766
2020-09-24,4.021368,4.39995,3.993184,4.381973,437573446
2020-09-25,4.376265,4.527898,4.262062,4.420954,425191119
2020-09-26,4.422247,4.464017,4.242543,4.347662,329745176
2020-09-27,4.340383,4.362192,4.160518,4.310281,316361927
2020-09-28,4.302437,4.58298,4.270127,4.397861,543507456
2020-09-29,4.421758,4.602887,4.358147,4.500452,508965929
2020-09-30,4.502908,4.502908,4.253639,4.349781,378446620
2020-10-01,4.350968,4.58343,4.257382,4.343831,445143708
2020-10-02,4.344504,4.358545,3.933162,4.123179,554916297
2020-10-03,4.127322,4.131513,4.038119,4.070046,361964763
2020-10-04,4.067633,4.195494,4.021517,4.173911,286356969
2020-10-05,4.181273,4.233528,4.120232,4.1727,332264664
2020-10-06,4.169271,4.182002,3.645681,3.756162,662270711
2020-10-07,3.753456,3.877703,3.620271,3.858798,629063456
2020-10-08,3.857625,4.16001,3.664641,4.102642,614223111
2020-10-09,4.111853,4.351942,4.020023,4.262468,491506582
2020-10-10,4.260407,4.475801,4.239729,4.252955,492038159
2020-10-11,4.258699,4.33437,4.178621,4.262162,388098955
2020-10-12,4.255739,4.437003,4.207903,4.319948,489608532
2020-10-13,4.316079,4.344514,4.157707,4.2494,420659947
2020-10-14,4.255531,4.358098,4.093734,4.199114,520198619
2020-10-15,4.192293,4.192293,4.033811,4.096811,450623089
2020-10-16,4.100024,4.157108,3.839912,3.909529,443295515
2020-10-17,3.917128,3.977368,3.87161,3.967252,206453738
